ID,innings,BattingTeam,TotalRuns,AvgWickets,MaxOvers
335982,1,Kolkata Knight Riders,222,0.024193548387096774,19
335982,2,Royal Challengers Bangalore,82,0.09900990099009901,15
335983,1,Chennai Super Kings,240,0.04032258064516129,19
335983,2,Kings XI Punjab,207,0.03225806451612903,19
335984,1,Rajasthan Royals,129,0.06557377049180328,19
335984,2,Delhi Daredevils,132,0.010309278350515464,15
335985,1,Mumbai Indians,165,0.056910569105691054,19
335985,2,Royal Challengers Bangalore,166,0.04065040650406504,19
335986,1,Deccan Chargers,110,0.0847457627118644,18
335986,2,Kolkata Knight Riders,112,0.040983606557377046,18
335987,1,Kings XI Punjab,166,0.06557377049180328,19
335987,2,Rajasthan Royals,168,0.03361344537815126,18
335988,1,Deccan Chargers,142,0.06557377049180328,19
335988,2,Delhi Daredevils,143,0.012048192771084338,13
335989,1,Chennai Super Kings,208,0.03937007874015748,19
335989,2,Mumbai Indians,202,0.0546875,19
335990,1,Deccan Chargers,214,0.03968253968253968,19
335990,2,Rajasthan Royals,217,0.05737704918032787,19
335991,1,Kings XI Punjab,182,0.08064516129032258,19
335991,2,Mumbai Indians,116,0.07142857142857142,19
335992,1,Royal Challengers Bangalore,135,0.06451612903225806,19
335992,2,Rajasthan Royals,138,0.02857142857142857,17
335993,1,Kolkata Knight Riders,147,0.07142857142857142,19
335993,2,Chennai Super Kings,152,0.009345794392523364,16
335994,1,Mumbai Indians,154,0.056,19
335994,2,Deccan Chargers,155,0.0,11
335995,1,Delhi Daredevils,158,0.064,19
335995,2,Kings XI Punjab,162,0.04878048780487805,19
335996,1,Chennai Super Kings,178,0.04065040650406504,19
335996,2,Royal Challengers Bangalore,165,0.08064516129032258,19
335997,1,Kolkata Knight Riders,137,0.064,19
335997,2,Mumbai Indians,138,0.025423728813559324,18
335998,1,Delhi Daredevils,191,0.040983606557377046,19
335998,2,Royal Challengers Bangalore,181,0.04132231404958678,19
335999,1,Deccan Chargers,164,0.06557377049180328,19
335999,2,Kings XI Punjab,167,0.02564102564102564,18
336000,1,Rajasthan Royals,196,0.05511811023622047,19
336000,2,Kolkata Knight Riders,151,0.08196721311475409,19
336001,1,Chennai Super Kings,169,0.047619047619047616,19
336001,2,Delhi Daredevils,172,0.01694915254237288,18
336002,1,Deccan Chargers,165,0.07936507936507936,19
336002,2,Royal Challengers Bangalore,171,0.043859649122807015,18
336003,1,Kings XI Punjab,178,0.048,19
336003,2,Kolkata Knight Riders,169,0.04918032786885246,19
336004,1,Mumbai Indians,162,0.06451612903225806,19
336004,2,Delhi Daredevils,133,0.08771929824561403,18
336005,1,Chennai Super Kings,109,0.08620689655172414,18
336005,2,Rajasthan Royals,110,0.021505376344086023,14
336006,1,Royal Challengers Bangalore,126,0.08264462809917356,19
336006,2,Kings XI Punjab,127,0.03418803418803419,18
336007,1,Chennai Super Kings,144,0.056451612903225805,19
